tourney,Division,Round,Team1,Team2,T1P1,T1P2,T2P1,T2P2,t1score,t2score
2021seattle,Advanced,Pool,Boom Ball,spiKE The Right Thing,Jordan Freitas,Riley Inn,Erik Bishop,Kevin H,21,6
2021seattle,Advanced,Pool,Hide on Bush,Brennan and the Jets,Andrew Nakahara,Jaren Tilley,Nathan Evensen,Ryan Brennan,18,21
2021seattle,Advanced,Pool,Spike Like Mike,The Future Dilfs,Ari Eisips,Andy Ha,Davis Wolfley,Tyler Klepec,21,17
2021seattle,Advanced,Pool,Hueligans,Shoreline Mafia,Alexis Adams,Jason Small,Brad Officer,Alexander Liu,21,14
2021seattle,Advanced,Pool,Peanut Betty and Gellieman,COD Kings,Garrett Peterson,Jordan Moore-Bettencourt,Bryce Jacobsen,Arthur Troncoso,21,15
2021seattle,Advanced,Pool,Spikaholics,2-Hit Wonders,Tyler Harms-Synkiew,Josie Machalek,Joshua Coder,Todd Copper,14,21
2021seattle,Advanced,Pool,Western Alert,The Cascades,Lester Lui-Delange,Paul Goins,Josh Wozniak,Rick Thomas,24,22
2021seattle,Advanced,Pool,The Back packs,Smash Bros,Brian Perlson,Ryan Brown,Derek Johnson,Austin Denny,21,14
2021seattle,Advanced,Pool,The Back packs,Smash Bros,Brian Perlson,Ryan Brown,Timothy Bradshaw,Joshua Bradshaw,21,14
2021seattle,Advanced,Pool,Dirty Dangles,Spike Like Mike,Jonathan Andrews,James Renfroe,Ari Eisips,Andy Ha,21,19
